By,Album Name
Bob Dylan,Highway 61 Revisited
Bob Dylan,The Freewheelin' Bob Dylan
Bob Dylan,The Times They Are A-Changin'
Bob Dylan,Desire
Bob Dylan,Nashville Skyline
Bruce Springsteen,Born In The U.S.A.
Bruce Springsteen,Born To Run
Bruce Springsteen,The River
Bruce Springsteen,Darkness On the Edge of Town
Bruce Springsteen,Tunnel Of Love
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars
David Bowie,"""Heroes"""
David Bowie,Diamond Dogs
David Bowie,David Bowie (aka Space Oddity)
David Bowie,Let's Dance
David Bowie,Hunky Dory
Ella Fitzgerald,Ella and Louis
Ella Fitzgerald,Porgy And Bess
Ella Fitzgerald,Pure Ella
B.B. King,Deuces Wild
Elvis Presley,Blue Hawaii
Elvis Presley,From Elvis in Memphis
Elvis Presley,Elvis (Fool)
Elvis Presley,Elvis Presley
Frank Sinatra,The World We Knew
Frank Sinatra,My Way
Frank Sinatra,That's Life
Frank Sinatra,Strangers In The Night
Frank Sinatra,"Days Of Wine And Roses, Moon River And Other Academy Award Winners"
Hank Williams,Honky Tonkin
Hank Williams,Moanin' The Blues
James Brown,"Please, Please, Please"
Johnny Cash,American IV: The Man Comes Around
Johnny Cash,Sings the Songs that Made Him Famous
The Highwaymen,Highwayman
Johnny Cash,At Folsom Prison
Johnny Cash,American V: A Hundred Highways
